ST1 to PS1,ST1 to PS2,ST1 to PS3,ST1 to PS4,ST1 to PS6,ST1 to PS9,ST1 to PS12,ST1 to PS16,ST1 to PS20,ST1 to PS24
-2.410117206,2.21325677,-0.389492591,-1.704248678,-2.353176968,1.381170861,2.658380364,2.175505006,-0.837418309,-2.19598863
0.037540711,-0.427223381,-1.495115706,-2.162869331,-2.410541111,-0.054436691,-0.090572516,-0.622328083,-1.787592603,-2.249002289
-0.481766725,0.6102122,1.084357743,1.617402738,2.11709394,0.135601632,0.435506987,0.693830493,1.233686278,1.864283057
0.134661255,-0.752667919,-2.239790546,-2.22802294,-1.847694683,-0.209061761,-0.386599709,-1.553391199,-2.297643836,-2.028775226
0.368887251,-1.274991869,-3.120222937,-4.675386519,-5.258642362,-0.534934735,-0.661561408,-1.660192965,-4.652893111,-4.980989262
-1.515922808,1.670787353,-0.193036758,-0.668559394,-0.771870227,0.626741594,1.950643015,1.307375622,-0.555704146,-0.727908672
-1.452155649,2.431866016,3.361880429,3.399211893,3.336778931,0.410585655,2.293633361,3.464587714,3.424870431,3.334346338
-0.127078401,0.576725503,1.182444922,1.481402759,1.714355716,-0.025044303,0.403611258,0.926112877,1.325890616,1.629056207
0.352126634,-0.762504829,-1.543497706,-2.077384005,-2.254801108,-0.235215016,-0.452194126,-0.932419672,-1.949964808,-2.214223624
-0.233495156,-0.17610368,-1.472139929,-1.468402836,-1.521359728,-0.06149758,0.299634063,-0.83174846,-1.405266053,-1.381406935
-1.606136563,3.509784424,4.659722269,4.837017063,5.28838142,0.57177525,2.946148644,4.274093367,4.750495617,4.92804494
0.574852164,-1.86155751,-3.520447495,-4.393231934,-4.89153149,-0.163013571,-1.205417172,-2.954685087,-3.982410338,-4.029754959
-0.286117395,1.973302121,2.619807796,3.215301616,3.261797585,0.392507344,1.291867808,2.108457806,2.962955666,3.15277119
-0.324370991,0.014099169,-3.843207851,-3.519132574,-3.844763004,-0.050103629,0.472160939,-0.888436979,-3.591885096,-3.407039616
0.347130472,-0.851196012,-1.705679505,-1.902928443,-1.757218631,-0.289089891,-0.658490328,-1.579765481,-2.024972315,-1.899542667
